Universidad,Facultad,Dirección
Universidad de Ciencias Empresariales y Sociales,Facultad de Psicología y Ciencias Sociales,Dirección: Paraguay 1401 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Pilar,"Dirección: Av. Dr. Honorio Pueyrredón 463, Pilar – Buenos Aires"
Universidad de Flores,Facultad de Actividad Física y Deporte,Dirección: Pedernera 275 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Flores,Facultad de Administración,Dirección: Pedernera 275 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Flores,Facultad de Derecho,Dirección: Pedernera 275 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Flores,Facultad de Ingeniería,Dirección: Pedernera 275 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Flores,Facultad de Planeamiento,Dirección: Pedernera 275 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Flores,Facultad de Psicología y Ciencias Sociales,Dirección: Pedernera 275 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de la Defensa Nacional,Facultad del Ejército,Dirección: Av Cabildo 65 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de la Defensa Nacional,Facultad de la Armada,Dirección: Maipú 262 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de la Defensa Nacional,Facultad de la Fuerza Aérea,Dirección: Maipú 262 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de la Marina Mercante,"Facultad de Ciencias Jurídicas, Sociales y de la Comunicación",Dirección: Av. Rivadavia 2258 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de la Marina Mercante,Facultad de Humanidades,Dirección: Av. Rivadavia 2258 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de la Marina Mercante,Facultad de Administración y Economía,Dirección: Av. Rivadavia 2258 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de la Marina Mercante,Facultad de Ingeniería,Dirección: Av. Rivadavia 2258 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Morón,"Facultad de Derecho, Ciencias Políticas y Sociales",Dirección: Machado 854 - Moron - Buenos Aires 
Universidad de Morón,Facultad de Medicina,Dirección: Machado 854 - Moron - Buenos Aires 
Universidad de Morón,Escuela Diocesana de Servicio Social,Dirección: Machado 854 - Moron - Buenos Aires 
Universidad de Morón,Facultad de Agronomía y Ciencias Agroalimentarias,Dirección: Machado 854 - Moron - Buenos Aires 
Universidad de Morón,"Facultad de Arquitectura, Diseño, Arte y Urbanismo",Dirección: Machado 854 - Moron - Buenos Aires 
Universidad de Morón,Facultad de Ciencias Aplicadas al Turismo y la Población,Dirección: Machado 854 - Moron - Buenos Aires 
Universidad de Morón,Facultad de Ciencias Económicas y Empresariales,Dirección: Machado 854 - Moron - Buenos Aires 
